id,name,ac_id,ac_name,pc_id,pc_name,district
51,"Shankar Matt",156,"Mahalaxmi Layout",24,"Bangalore North"
52,"Shakthi Ganapathi Nagar",156,"Mahalaxmi Layout",24,"Bangalore North"
53,"Vrisabhavathi Nagar",156,"Mahalaxmi Layout",24,"Bangalore North"
54,Mattikere,157,Malleswaram,24,"Bangalore North"
55,Malleswaram,157,Malleswaram,24,"Bangalore North"
56,"Aramane Nagara",157,Malleswaram,24,"Bangalore North"
57,"Rajamahal Guttahalli",157,Malleswaram,24,"Bangalore North"
58,"Kadu Malleshwar Ward",157,Malleswaram,24,"Bangalore North"
59,"Subramanya Nagar",157,Malleswaram,24,"Bangalore North"
6,Jakkuru,152,Byatarayanapura,24,"Bangalore North",Bangalore Urban
60,"Gayithri Nagar",157,Malleswaram,24,"Bangalore North"
61,"Radhakrishna Temple Ward",158,Hebbal,24,"Bangalore North"
62,"Sanjaya Nagar",158,Hebbal,24,"Bangalore North"
63,Hebbala,158,Hebbal,24,"Bangalore North"
64,"Vishwanath Nagenahalli",158,Hebbal,24,"Bangalore North"
65,Manorayanapalya,158,Hebbal,24,"Bangalore North"
66,"Chamundi Nagara",158,Hebbal,24,"Bangalore North"
67,"Ganga Nagar",158,Hebbal,24,"Bangalore North"
68,"Jayachamarajendra  Nagar",158,Hebbal,24,"Bangalore North"
69,"Kaval Bairasandra",159,"Pulakeshi Nagar",24,"Bangalore North"
7,Thanisandra,152,Byatarayanapura,24,"Bangalore North",Bangalore Urban
70,"Kushal Nagar",159,"Pulakeshi Nagar",24,"Bangalore North"
71,"Muneshwara Nagar",159,"Pulakeshi Nagar",24,"Bangalore North"
72,"Devara Jeevanahalli",159,"Pulakeshi Nagar",24,"Bangalore North"
73,"S K Garden",159,"Pulakeshi Nagar",24,"Bangalore North"
74,Sagayarapuram,159,"Pulakeshi Nagar",24,"Bangalore North"
75,Pulikeshinagar,159,"Pulakeshi Nagar",24,"Bangalore North"
76,Hennur,160,"Sarvargna Nagar",25,"Bangalore Central"
77,Nagavara,160,"Sarvargna Nagar",25,"Bangalore Central"
78,"HBR Layout",160,"Sarvargna Nagar",25,"Bangalore Central"
79,Kadugondanahalli,160,"Sarvargna Nagar",25,"Bangalore Central"
8,Amrutahalli,152,Byatarayanapura,24,"Bangalore North",Bangalore Urban
80,Kacharkanahalli,160,"Sarvargna Nagar",25,"Bangalore Central"
81,Kammanahalli,160,"Sarvargna Nagar",25,"Bangalore Central"
82,Banasavadi,160,"Sarvargna Nagar",25,"Bangalore Central"
83,Subbayyanapalya,160,"Sarvargna Nagar",25,"Bangalore Central"
84,Lingarajapura,160,"Sarvargna Nagar",25,"Bangalore Central"
85,"Maruthi Seva Nagar",160,"Sarvargna Nagar",25,"Bangalore Central"
86,Challakere,151,K.R.Pura,24,"Bangalore North"
87,Horamavu,151,K.R.Pura,24,"Bangalore North"
88,Kalkere,151,K.R.Pura,24,"Bangalore North"
89,Vijinapura,151,K.R.Pura,24,"Bangalore North"
9,"Hebbal Kempapura",152,Byatarayanapura,24,"Bangalore North",Bangalore Urban
90,"Ramamurthy Nagar",151,K.R.Pura,24,"Bangalore North"
91,"K R Puram",151,K.R.Pura,24,"Bangalore North"
92,Basavanapura,151,K.R.Pura,24,"Bangalore North"
93,Devasandra,151,K.R.Pura,24,"Bangalore North"
94,"A. Narayanapura",151,K.R.Pura,24,"Bangalore North"
95,"Vijnana Nagar",151,K.R.Pura,24,"Bangalore North"
96,"HAL Airport",151,K.R.Pura,24,"Bangalore North"
97,Kadugodi,174,"Mahadevapura",25,"Bangalore Central",Bangalore Urban
98,Hudi,174,"Mahadevapura",25,"Bangalore Central",Bangalore Urban
99,Byrathi,174,"Mahadevapura",25,"Bangalore Central",Bangalore Urban
